log_id,user_id,activity_type,file_path,timestamp,label_anomaly
LOG000024,admin,Create,/shared/reports/Q1_summary.pdf,2026-04-22 11:11:00,0
LOG000025,contractor_x,Read,/shared/reports/Q1_summary.pdf,2026-04-14 13:36:00,0
LOG000026,user02,FileDownload,/exports/customer_data.zip,2026-04-21 02:17:00,1
LOG000027,contractor_x,Modify,/projects/specs.md,2026-04-20 09:20:00,0
LOG000028,dev01,Modify,/tmp/draft_notes.txt,2026-04-20 11:18:00,0
LOG000029,admin,FileDownload,/intranet/forms/holiday.pdf,2026-04-15 12:19:00,0
LOG000030,dev01,Modify,/tmp/draft_notes.txt,2026-04-13 16:27:00,0
LOG000031,analyst,Read,/tmp/draft_notes.txt,2026-04-12 17:46:00,0
LOG000032,analyst,Delete,/tmp/draft_notes.txt,2026-04-21 08:57:00,0
LOG000033,dev01,Read,/shared/reports/Q1_summary.pdf,2026-04-13 11:50:00,0
LOG000034,analyst,Read,/projects/specs.md,2026-04-15 08:26:00,0
LOG000035,contractor_x,Create,/projects/specs.md,2026-04-15 15:08:00,0
LOG000036,contractor_x,Modify,/hr/salaries_2026.xlsx,2026-04-21 03:50:00,1
LOG000037,admin,Read,/shared/reports/Q1_summary.pdf,2026-04-19 13:50:00,0
LOG000038,contractor_x,FileCopy,/shared/reports/Q1_summary.pdf|/backup/internal_mirror/report.pdf,2026-04-13 12:18:00,0
LOG000039,user01,Read,/shared/reports/Q1_summary.pdf,2026-04-20 10:13:00,0
LOG000040,dev01,Modify,/keys/signing_key.pem,2026-04-16 02:58:00,1
LOG000041,contractor_x,FileCopy,/tmp/draft_notes.txt|/backup/internal_mirror/report.pdf,2026-04-17 09:08:00,0
LOG000042,admin,Modify,/secure/vault/customer_pii.csv,2026-04-20 03:36:00,1
LOG000043,admin,Create,/projects/specs.md,2026-04-12 08:29:00,0
LOG000044,analyst,Read,/tmp/draft_notes.txt,2026-04-15 09:30:00,0
LOG000045,contractor_x,Delete,/shared/reports/Q1_summary.pdf,2026-04-15 09:44:00,0
LOG000046,dev01,Delete,/finance/ledger_gl.db,2026-04-20 23:22:00,1
LOG000047,contractor_x,FileCopy,/secure/vault/customer_pii.csv|C:/Users/Public/unauth_copy.pem,2026-04-17 03:11:00,1
LOG000048,contractor_x,Modify,/secure/vault/customer_pii.csv,2026-04-16 02:29:00,1
LOG000049,dev01,FileDownload,/exports/customer_data.zip,2026-04-19 01:39:00,1
LOG000050,user01,FileCopy,/secure/vault/customer_pii.csv|D:/USB_STICK/exfil_copy.csv,2026-04-18 23:01:00,1
LOG000051,analyst,Modify,/hr/salaries_2026.xlsx,2026-04-16 02:38:00,1
LOG000052,user02,Delete,/keys/signing_key.pem,2026-04-12 03:45:00,1
LOG000053,dev01,Create,/tmp/draft_notes.txt,2026-04-19 13:28:00,0
LOG000054,admin,Modify,/shared/reports/Q1_summary.pdf,2026-04-15 08:02:00,0
LOG000055,user02,Read,/shared/reports/Q1_summary.pdf,2026-04-15 09:06:00,0
LOG000056,dev01,Delete,/finance/ledger_gl.db,2026-04-15 03:48:00,1
LOG000057,user02,Create,/projects/specs.md,2026-04-21 13:08:00,0
LOG000058,analyst,FileCopy,/keys/signing_key.pem|D:/USB_STICK/exfil_copy.csv,2026-04-12 01:04:00,1
LOG000059,dev01,Delete,/secure/vault/customer_pii.csv,2026-04-17 01:44:00,1
LOG000060,contractor_x,Read,/projects/specs.md,2026-04-14 13:01:00,0
LOG000061,dev01,Read,/shared/reports/Q1_summary.pdf,2026-04-22 09:01:00,0
LOG000062,contractor_x,Read,/projects/specs.md,2026-04-15 16:19:00,0
LOG000063,dev01,Modify,/hr/salaries_2026.xlsx,2026-04-17 23:05:00,1
LOG000064,dev01,Modify,/projects/specs.md,2026-04-17 11:23:00,0
LOG000065,contractor_x,Modify,/tmp/draft_notes.txt,2026-04-20 09:57:00,0
LOG000066,admin,Delete,/finance/ledger_gl.db,2026-04-19 23:42:00,1
LOG000067,contractor_x,Modify,/projects/specs.md,2026-04-21 12:20:00,0
LOG000068,user01,Modify,/tmp/draft_notes.txt,2026-04-15 17:48:00,0
LOG000069,admin,FileDownload,/intranet/forms/holiday.pdf,2026-04-12 12:51:00,0
LOG000070,admin,Read,/shared/reports/Q1_summary.pdf,2026-04-20 08:18:00,0
LOG000071,contractor_x,FileDownload,/vault/confidential_bundle.zip,2026-04-16 03:37:00,1
LOG000072,dev01,Modify,/hr/salaries_2026.xlsx,2026-04-13 02:46:00,1
LOG000073,analyst,FileCopy,/shared/reports/Q1_summary.pdf|/backup/internal_mirror/report.pdf,2026-04-18 16:45:00,0
LOG000074,user01,FileCopy,/projects/specs.md|/backup/internal_mirror/report.pdf,2026-04-18 15:09:00,0
LOG000075,user01,Read,/shared/reports/Q1_summary.pdf,2026-04-13 09:28:00,0
LOG000076,user01,Read,/projects/specs.md,2026-04-14 10:45:00,0
LOG000077,user02,FileCopy,/projects/specs.md|/backup/internal_mirror/report.pdf,2026-04-21 16:23:00,0
LOG000078,dev01,FileCopy,/tmp/draft_notes.txt|/backup/internal_mirror/report.pdf,2026-04-15 13:37:00,0
LOG000079,user01,FileDownload,/vault/confidential_bundle.zip,2026-04-16 02:18:00,1
LOG000080,user01,Read,/projects/specs.md,2026-04-13 14:44:00,0
LOG000081,analyst,FileCopy,/projects/specs.md|/backup/internal_mirror/report.pdf,2026-04-17 17:53:00,0
LOG000082,analyst,Read,/shared/reports/Q1_summary.pdf,2026-04-20 08:57:00,0
LOG000083,user01,FileCopy,/projects/specs.md|/backup/internal_mirror/report.pdf,2026-04-12 16:00:00,0
LOG000084,contractor_x,Read,/shared/reports/Q1_summary.pdf,2026-04-16 16:35:00,0
LOG000085,admin,Read,/shared/reports/Q1_summary.pdf,2026-04-17 13:14:00,0
LOG000086,user01,Read,/shared/reports/Q1_summary.pdf,2026-04-15 12:44:00,0
LOG000087,admin,Read,/projects/specs.md,2026-04-19 08:18:00,0
LOG000088,analyst,Modify,/secure/vault/customer_pii.csv,2026-04-22 01:30:00,1
LOG000089,user01,Delete,/shared/reports/Q1_summary.pdf,2026-04-13 11:27:00,0
LOG000090,user01,Read,/projects/specs.md,2026-04-22 16:28:00,0
LOG000091,user02,Delete,/keys/signing_key.pem,2026-04-14 03:43:00,1
LOG000092,contractor_x,FileCopy,/shared/reports/Q1_summary.pdf|/backup/internal_mirror/report.pdf,2026-04-16 13:19:00,0
LOG000093,contractor_x,Create,/tmp/draft_notes.txt,2026-04-21 17:48:00,0
LOG000094,analyst,Read,/projects/specs.md,2026-04-18 08:12:00,0
LOG000095,user02,Modify,/shared/reports/Q1_summary.pdf,2026-04-17 17:59:00,0
LOG000096,user01,Read,/shared/reports/Q1_summary.pdf,2026-04-14 15:20:00,0
LOG000097,user02,Create,/projects/specs.md,2026-04-14 15:03:00,0
LOG000098,dev01,Delete,/secure/vault/customer_pii.csv,2026-04-12 01:18:00,1
LOG000099,dev01,Read,/projects/specs.md,2026-04-19 15:16:00,0
LOG000100,admin,FileCopy,/tmp/draft_notes.txt|/backup/internal_mirror/report.pdf,2026-04-17 16:46:00,0
LOG000101,analyst,Read,/projects/specs.md,2026-04-17 14:40:00,0
LOG000102,analyst,Delete,/secure/vault/customer_pii.csv,2026-04-13 23:10:00,1
LOG000103,analyst,Read,/tmp/draft_notes.txt,2026-04-18 14:58:00,0
LOG000104,user02,Delete,/finance/ledger_gl.db,2026-04-16 01:29:00,1
LOG000105,user02,FileCopy,/projects/specs.md|/backup/internal_mirror/report.pdf,2026-04-14 10:13:00,0
LOG000106,user02,FileCopy,/secure/vault/customer_pii.csv|D:/USB_STICK/exfil_copy.csv,2026-04-18 03:16:00,1
LOG000107,admin,Modify,/projects/specs.md,2026-04-17 12:02:00,0
LOG000108,user01,FileDownload,/intranet/forms/holiday.pdf,2026-04-21 08:44:00,0
LOG000109,contractor_x,Read,/projects/specs.md,2026-04-16 17:50:00,0
LOG000110,user01,FileCopy,/projects/specs.md|/backup/internal_mirror/report.pdf,2026-04-13 09:39:00,0
LOG000111,user02,Read,/projects/specs.md,2026-04-22 16:17:00,0
LOG000112,dev01,FileDownload,/vault/confidential_bundle.zip,2026-04-13 01:13:00,1
LOG000113,admin,Create,/projects/specs.md,2026-04-15 17:16:00,0
LOG000114,dev01,Read,/projects/specs.md,2026-04-16 17:20:00,0
LOG000115,user02,Delete,/secure/vault/customer_pii.csv,2026-04-13 23:09:00,1
LOG000116,dev01,FileDownload,/intranet/forms/holiday.pdf,2026-04-17 17:24:00,0
LOG000117,user01,FileCopy,/secure/vault/customer_pii.csv|/mnt/usb/backup_leak.zip,2026-04-22 02:37:00,1
LOG000118,dev01,FileDownload,/exports/customer_data.zip,2026-04-18 03:07:00,1
LOG000119,user01,Create,/projects/specs.md,2026-04-19 12:45:00,0
LOG000120,dev01,FileCopy,/projects/specs.md|/backup/internal_mirror/report.pdf,2026-04-12 10:15:00,0
LOG000121,user01,Read,/shared/reports/Q1_summary.pdf,2026-04-22 08:21:00,0
LOG000122,dev01,Delete,/hr/salaries_2026.xlsx,2026-04-14 02:37:00,1
LOG000123,user01,FileCopy,/keys/signing_key.pem|C:/Users/Public/unauth_copy.pem,2026-04-15 03:19:00,1
LOG000124,user01,FileDownload,/intranet/forms/holiday.pdf,2026-04-19 12:56:00,0
LOG000125,admin,Read,/shared/reports/Q1_summary.pdf,2026-04-15 14:00:00,0
LOG000126,admin,Read,/tmp/draft_notes.txt,2026-04-17 15:48:00,0
LOG000127,admin,Read,/tmp/draft_notes.txt,2026-04-15 14:53:00,0
LOG000128,dev01,Modify,/projects/specs.md,2026-04-13 08:52:00,0
LOG000129,user01,Read,/projects/specs.md,2026-04-15 09:57:00,0
LOG000130,analyst,Read,/tmp/draft_notes.txt,2026-04-17 11:20:00,0
LOG000131,dev01,FileDownload,/intranet/forms/holiday.pdf,2026-04-22 17:57:00,0
LOG000132,contractor_x,FileDownload,/exports/customer_data.zip,2026-04-12 23:52:00,1
LOG000133,user01,Read,/shared/reports/Q1_summary.pdf,2026-04-17 08:36:00,0
LOG000134,user01,Modify,/tmp/draft_notes.txt,2026-04-14 12:53:00,0
LOG000135,dev01,FileCopy,/tmp/draft_notes.txt|/backup/internal_mirror/report.pdf,2026-04-14 09:27:00,0
LOG000136,contractor_x,Read,/projects/specs.md,2026-04-14 08:04:00,0
LOG000137,admin,Read,/tmp/draft_notes.txt,2026-04-21 10:28:00,0
LOG000138,analyst,FileCopy,/keys/signing_key.pem|D:/USB_STICK/exfil_copy.csv,2026-04-13 01:15:00,1
LOG000139,user01,Read,/projects/specs.md,2026-04-20 08:03:00,0
LOG000140,user02,Modify,/projects/specs.md,2026-04-19 12:05:00,0
LOG000141,user02,Read,/tmp/draft_notes.txt,2026-04-12 16:10:00,0
LOG000142,dev01,Read,/projects/specs.md,2026-04-21 16:53:00,0
LOG000143,admin,Read,/projects/specs.md,2026-04-12 17:25:00,0
LOG000144,contractor_x,Read,/shared/reports/Q1_summary.pdf,2026-04-15 12:22:00,0
LOG000145,admin,Modify,/secure/vault/customer_pii.csv,2026-04-15 03:37:00,1
LOG000146,analyst,Create,/shared/reports/Q1_summary.pdf,2026-04-17 16:34:00,0
LOG000147,user02,Read,/projects/specs.md,2026-04-13 14:48:00,0
LOG000148,analyst,Read,/tmp/draft_notes.txt,2026-04-18 08:37:00,0
LOG000149,user02,FileCopy,/keys/signing_key.pem|/mnt/usb/backup_leak.zip,2026-04-15 02:52:00,1
LOG000150,admin,FileCopy,/shared/reports/Q1_summary.pdf|/backup/internal_mirror/report.pdf,2026-04-21 09:38:00,0
LOG000151,dev01,Delete,/secure/vault/customer_pii.csv,2026-04-15 02:26:00,1
LOG000152,user02,Read,/shared/reports/Q1_summary.pdf,2026-04-18 08:20:00,0
LOG000153,user01,Read,/projects/specs.md,2026-04-14 11:03:00,0
LOG000154,user01,Read,/projects/specs.md,2026-04-17 12:22:00,0
LOG000155,user02,Create,/projects/specs.md,2026-04-17 15:29:00,0
LOG000156,dev01,FileDownload,/vault/confidential_bundle.zip,2026-04-18 03:57:00,1
LOG000157,user01,Read,/tmp/draft_notes.txt,2026-04-12 14:34:00,0
LOG000158,user02,Delete,/hr/salaries_2026.xlsx,2026-04-21 23:50:00,1
LOG000159,user01,Read,/tmp/draft_notes.txt,2026-04-15 09:51:00,0
LOG000160,user01,Delete,/secure/vault/customer_pii.csv,2026-04-18 23:46:00,1
LOG000161,user01,Create,/tmp/draft_notes.txt,2026-04-20 13:22:00,0
LOG000162,user02,Create,/tmp/draft_notes.txt,2026-04-16 11:35:00,0
LOG000163,analyst,Modify,/tmp/draft_notes.txt,2026-04-18 16:30:00,0
LOG000164,contractor_x,Delete,/projects/specs.md,2026-04-22 16:57:00,0
LOG000165,contractor_x,FileCopy,/finance/ledger_gl.db|D:/USB_STICK/exfil_copy.csv,2026-04-14 03:28:00,1
LOG000166,contractor_x,Modify,/secure/vault/customer_pii.csv,2026-04-12 23:15:00,1
LOG000167,admin,FileCopy,/projects/specs.md|/backup/internal_mirror/report.pdf,2026-04-15 13:47:00,0
LOG000168,user01,Modify,/tmp/draft_notes.txt,2026-04-12 09:44:00,0
LOG000169,contractor_x,FileCopy,/projects/specs.md|/backup/internal_mirror/report.pdf,2026-04-22 13:49:00,0
LOG000170,user01,FileDownload,/exports/customer_data.zip,2026-04-15 01:57:00,1
LOG000171,dev01,Read,/tmp/draft_notes.txt,2026-04-12 14:05:00,0
LOG000172,dev01,FileCopy,/shared/reports/Q1_summary.pdf|/backup/internal_mirror/report.pdf,2026-04-18 12:08:00,0
LOG000173,contractor_x,Read,/tmp/draft_notes.txt,2026-04-16 11:40:00,0
LOG000174,analyst,Read,/tmp/draft_notes.txt,2026-04-19 11:59:00,0
LOG000175,user02,FileDownload,/intranet/forms/holiday.pdf,2026-04-17 13:50:00,0
LOG000176,dev01,FileCopy,/keys/signing_key.pem|/mnt/usb/backup_leak.zip,2026-04-19 01:05:00,1
LOG000177,user02,FileDownload,/vault/confidential_bundle.zip,2026-04-13 23:19:00,1
LOG000178,contractor_x,FileDownload,/intranet/forms/holiday.pdf,2026-04-14 10:29:00,0
LOG000179,dev01,Read,/projects/specs.md,2026-04-13 10:47:00,0
LOG000180,dev01,Read,/projects/specs.md,2026-04-15 16:58:00,0
LOG000181,analyst,Create,/projects/specs.md,2026-04-16 16:34:00,0
LOG000182,contractor_x,Create,/shared/reports/Q1_summary.pdf,2026-04-12 13:06:00,0
LOG000183,admin,FileDownload,/intranet/forms/holiday.pdf,2026-04-16 08:48:00,0
LOG000184,contractor_x,FileCopy,/keys/signing_key.pem|C:/Users/Public/unauth_copy.pem,2026-04-17 03:46:00,1
LOG000185,user02,FileDownload,/intranet/forms/holiday.pdf,2026-04-18 10:47:00,0
LOG000186,contractor_x,Create,/tmp/draft_notes.txt,2026-04-20 15:48:00,0
LOG000187,admin,Create,/projects/specs.md,2026-04-22 17:15:00,0
LOG000188,user02,Modify,/shared/reports/Q1_summary.pdf,2026-04-19 16:51:00,0
LOG000189,user01,Modify,/hr/salaries_2026.xlsx,2026-04-16 03:10:00,1
LOG000190,user02,Modify,/keys/signing_key.pem,2026-04-17 23:48:00,1
LOG000191,analyst,Delete,/tmp/draft_notes.txt,2026-04-14 15:42:00,0
LOG000192,dev01,Modify,/shared/reports/Q1_summary.pdf,2026-04-20 16:23:00,0
LOG000193,dev01,FileDownload,/vault/confidential_bundle.zip,2026-04-14 03:18:00,1
LOG000194,analyst,FileDownload,/vault/confidential_bundle.zip,2026-04-22 03:12:00,1
LOG000195,contractor_x,Modify,/tmp/draft_notes.txt,2026-04-17 17:46:00,0
LOG000196,contractor_x,Create,/projects/specs.md,2026-04-22 17:56:00,0
LOG000197,contractor_x,FileCopy,/keys/signing_key.pem|C:/Users/Public/unauth_copy.pem,2026-04-19 03:12:00,1
LOG000198,analyst,Read,/tmp/draft_notes.txt,2026-04-13 16:48:00,0
LOG000199,analyst,Read,/tmp/draft_notes.txt,2026-04-12 10:03:00,0
LOG000200,user01,Create,/tmp/draft_notes.txt,2026-04-18 14:55:00,0
LOG000201,dev01,Create,/shared/reports/Q1_summary.pdf,2026-04-13 08:41:00,0
LOG000202,analyst,Create,/shared/reports/Q1_summary.pdf,2026-04-14 15:11:00,0
LOG000203,analyst,FileDownload,/exports/customer_data.zip,2026-04-15 23:08:00,1
LOG000204,analyst,Delete,/tmp/draft_notes.txt,2026-04-14 12:45:00,0
LOG000205,user02,Read,/shared/reports/Q1_summary.pdf,2026-04-22 09:35:00,0
LOG000206,user02,FileCopy,/tmp/draft_notes.txt|/backup/internal_mirror/report.pdf,2026-04-19 10:41:00,0
LOG000207,analyst,FileCopy,/finance/ledger_gl.db|D:/USB_STICK/exfil_copy.csv,2026-04-20 01:05:00,1
LOG000208,dev01,Create,/projects/specs.md,2026-04-12 15:23:00,0
LOG000209,user01,Modify,/projects/specs.md,2026-04-18 16:09:00,0
LOG000210,user02,FileDownload,/vault/confidential_bundle.zip,2026-04-13 23:33:00,1
LOG000211,contractor_x,Modify,/hr/salaries_2026.xlsx,2026-04-15 23:48:00,1
LOG000212,dev01,FileDownload,/vault/confidential_bundle.zip,2026-04-12 01:39:00,1
LOG000213,dev01,FileDownload,/intranet/forms/holiday.pdf,2026-04-16 15:20:00,0
LOG000214,dev01,FileCopy,/projects/specs.md|/backup/internal_mirror/report.pdf,2026-04-17 16:04:00,0
LOG000215,admin,FileCopy,/shared/reports/Q1_summary.pdf|/backup/internal_mirror/report.pdf,2026-04-18 16:54:00,0
LOG000216,admin,FileCopy,/tmp/draft_notes.txt|/backup/internal_mirror/report.pdf,2026-04-15 17:16:00,0
LOG000217,contractor_x,FileCopy,/shared/reports/Q1_summary.pdf|/backup/internal_mirror/report.pdf,2026-04-18 15:25:00,0
LOG000218,analyst,Read,/shared/reports/Q1_summary.pdf,2026-04-13 11:54:00,0
LOG000219,user02,Read,/shared/reports/Q1_summary.pdf,2026-04-16 11:37:00,0
LOG000220,contractor_x,Delete,/hr/salaries_2026.xlsx,2026-04-21 02:18:00,1
LOG000221,contractor_x,Modify,/hr/salaries_2026.xlsx,2026-04-13 23:24:00,1
LOG000222,user02,Create,/shared/reports/Q1_summary.pdf,2026-04-19 12:10:00,0
LOG000223,admin,Read,/tmp/draft_notes.txt,2026-04-18 12:35:00,0
LOG000224,user02,Modify,/tmp/draft_notes.txt,2026-04-15 10:53:00,0
LOG000225,dev01,Create,/projects/specs.md,2026-04-12 17:07:00,0
LOG000226,admin,Create,/projects/specs.md,2026-04-14 13:29:00,0
LOG000227,dev01,Modify,/shared/reports/Q1_summary.pdf,2026-04-21 12:17:00,0
LOG000228,admin,Create,/tmp/draft_notes.txt,2026-04-17 10:32:00,0
LOG000229,contractor_x,Delete,/tmp/draft_notes.txt,2026-04-17 14:48:00,0
LOG000230,contractor_x,FileDownload,/exports/customer_data.zip,2026-04-14 03:29:00,1
LOG000231,user01,Modify,/hr/salaries_2026.xlsx,2026-04-19 01:51:00,1
LOG000232,user02,Read,/tmp/draft_notes.txt,2026-04-15 15:31:00,0
LOG000233,analyst,FileDownload,/intranet/forms/holiday.pdf,2026-04-21 09:55:00,0
LOG000234,admin,FileCopy,/projects/specs.md|/backup/internal_mirror/report.pdf,2026-04-22 11:04:00,0
LOG000235,user01,FileCopy,/hr/salaries_2026.xlsx|/mnt/usb/backup_leak.zip,2026-04-16 01:16:00,1
LOG000236,admin,Read,/tmp/draft_notes.txt,2026-04-12 17:53:00,0
LOG000237,user01,Modify,/secure/vault/customer_pii.csv,2026-04-18 03:31:00,1
LOG000238,analyst,FileDownload,/intranet/forms/holiday.pdf,2026-04-20 14:19:00,0
LOG000239,admin,Read,/tmp/draft_notes.txt,2026-04-14 10:36:00,0
LOG000240,dev01,FileDownload,/intranet/forms/holiday.pdf,2026-04-15 12:00:00,0
LOG000241,contractor_x,Modify,/shared/reports/Q1_summary.pdf,2026-04-20 15:22:00,0
LOG000242,user01,Read,/projects/specs.md,2026-04-12 16:00:00,0
LOG000243,user02,FileDownload,/intranet/forms/holiday.pdf,2026-04-18 17:17:00,0
LOG000244,user01,Read,/projects/specs.md,2026-04-20 15:53:00,0
LOG000245,dev01,Create,/tmp/draft_notes.txt,2026-04-19 15:23:00,0
LOG000246,user01,FileCopy,/tmp/draft_notes.txt|/backup/internal_mirror/report.pdf,2026-04-14 08:11:00,0
LOG000247,analyst,Create,/tmp/draft_notes.txt,2026-04-14 17:02:00,0
LOG000248,analyst,Read,/tmp/draft_notes.txt,2026-04-21 11:36:00,0
LOG000249,admin,Delete,/tmp/draft_notes.txt,2026-04-12 08:13:00,0
LOG000250,user02,FileCopy,/projects/specs.md|/backup/internal_mirror/report.pdf,2026-04-18 13:22:00,0
LOG000251,user02,Read,/projects/specs.md,2026-04-20 10:02:00,0
LOG000252,user02,Delete,/secure/vault/customer_pii.csv,2026-04-22 03:50:00,1
LOG000253,dev01,Delete,/shared/reports/Q1_summary.pdf,2026-04-20 11:30:00,0
LOG000254,user02,FileDownload,/intranet/forms/holiday.pdf,2026-04-17 11:02:00,0
LOG000255,dev01,Create,/tmp/draft_notes.txt,2026-04-20 11:09:00,0
LOG000256,dev01,FileCopy,/projects/specs.md|/backup/internal_mirror/report.pdf,2026-04-19 16:26:00,0
LOG000257,user01,Read,/projects/specs.md,2026-04-15 10:35:00,0
LOG000258,analyst,Create,/tmp/draft_notes.txt,2026-04-14 12:25:00,0
LOG000259,admin,FileCopy,/tmp/draft_notes.txt|/backup/internal_mirror/report.pdf,2026-04-19 15:06:00,0
LOG000260,dev01,Modify,/tmp/draft_notes.txt,2026-04-13 14:11:00,0
LOG000261,contractor_x,Create,/tmp/draft_notes.txt,2026-04-17 16:13:00,0
LOG000262,dev01,Read,/shared/reports/Q1_summary.pdf,2026-04-13 11:31:00,0
LOG000263,user02,FileDownload,/vault/confidential_bundle.zip,2026-04-14 23:52:00,1
LOG000264,dev01,Read,/projects/specs.md,2026-04-21 15:49:00,0
LOG000265,dev01,FileDownload,/intranet/forms/holiday.pdf,2026-04-15 08:02:00,0
LOG000266,analyst,Read,/shared/reports/Q1_summary.pdf,2026-04-18 10:08:00,0
LOG000267,user02,Delete,/projects/specs.md,2026-04-16 08:22:00,0
LOG000268,user02,FileCopy,/shared/reports/Q1_summary.pdf|/backup/internal_mirror/report.pdf,2026-04-12 13:32:00,0
LOG000269,user01,FileCopy,/projects/specs.md|/backup/internal_mirror/report.pdf,2026-04-21 08:39:00,0
LOG000270,user01,Modify,/shared/reports/Q1_summary.pdf,2026-04-20 13:36:00,0
LOG000271,dev01,FileCopy,/shared/reports/Q1_summary.pdf|/backup/internal_mirror/report.pdf,2026-04-21 09:24:00,0
LOG000272,user02,Modify,/projects/specs.md,2026-04-20 15:37:00,0
LOG000273,contractor_x,Modify,/projects/specs.md,2026-04-20 13:35:00,0
LOG000274,contractor_x,FileDownload,/intranet/forms/holiday.pdf,2026-04-21 17:25:00,0
LOG000275,analyst,FileCopy,/shared/reports/Q1_summary.pdf|/backup/internal_mirror/report.pdf,2026-04-18 16:47:00,0
LOG000276,analyst,Modify,/projects/specs.md,2026-04-13 12:04:00,0
LOG000277,contractor_x,FileDownload,/intranet/forms/holiday.pdf,2026-04-12 08:43:00,0
LOG000278,user01,Read,/shared/reports/Q1_summary.pdf,2026-04-16 17:57:00,0
LOG000279,dev01,Read,/shared/reports/Q1_summary.pdf,2026-04-15 16:15:00,0
LOG000280,user01,Delete,/keys/signing_key.pem,2026-04-14 02:05:00,1
LOG000281,contractor_x,Read,/tmp/draft_notes.txt,2026-04-14 13:54:00,0
LOG000282,analyst,Delete,/finance/ledger_gl.db,2026-04-21 01:45:00,1
LOG000283,analyst,Modify,/shared/reports/Q1_summary.pdf,2026-04-18 11:41:00,0
LOG000284,analyst,FileCopy,/tmp/draft_notes.txt|/backup/internal_mirror/report.pdf,2026-04-16 14:02:00,0
LOG000285,analyst,Read,/tmp/draft_notes.txt,2026-04-14 15:47:00,0
LOG000286,admin,Read,/shared/reports/Q1_summary.pdf,2026-04-15 08:34:00,0
LOG000287,analyst,Read,/tmp/draft_notes.txt,2026-04-21 15:08:00,0
LOG000288,user02,Read,/shared/reports/Q1_summary.pdf,2026-04-18 13:18:00,0
LOG000289,admin,Read,/shared/reports/Q1_summary.pdf,2026-04-13 08:44:00,0
LOG000290,admin,Modify,/shared/reports/Q1_summary.pdf,2026-04-20 17:35:00,0
LOG000291,analyst,Create,/projects/specs.md,2026-04-19 14:59:00,0
LOG000292,analyst,Delete,/hr/salaries_2026.xlsx,2026-04-17 02:20:00,1
LOG000293,admin,FileDownload,/intranet/forms/holiday.pdf,2026-04-21 12:37:00,0
LOG000294,user02,Read,/tmp/draft_notes.txt,2026-04-17 16:23:00,0
LOG000295,contractor_x,FileCopy,/projects/specs.md|/backup/internal_mirror/report.pdf,2026-04-21 08:47:00,0
LOG000296,admin,Create,/shared/reports/Q1_summary.pdf,2026-04-22 17:39:00,0
LOG000297,user01,FileCopy,/secure/vault/customer_pii.csv|C:/Users/Public/unauth_copy.pem,2026-04-14 02:54:00,1
LOG000298,admin,FileCopy,/finance/ledger_gl.db|D:/USB_STICK/exfil_copy.csv,2026-04-15 03:54:00,1
LOG000299,analyst,Create,/projects/specs.md,2026-04-13 08:38:00,0
LOG000300,contractor_x,Modify,/projects/specs.md,2026-04-21 15:21:00,0
LOG000301,user02,Create,/shared/reports/Q1_summary.pdf,2026-04-18 10:30:00,0
LOG000302,admin,Delete,/tmp/draft_notes.txt,2026-04-19 16:58:00,0
